Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,New Zealand,NZL,9.28344345,9.24379444,8.96694851,9.0351162,9.49310207,10.07205391,10.04858398
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nicaragua,NIC,7.96303272,8.04877567,8.32754421,8.4993515,8.56945896,8.65219975,9.68343163
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Niger,NER,5.34745932,4.53239059,5.57609606,5.30310822,5.66642094,6.17012262,5.81452751
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nigeria,NGA,3.58194995,3.64773679,3.74762511,3.09069347,2.98547053,3.38063431,4.07625723
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North America,NAC,16.03957828,16.36853194,16.31284337,16.18838664,16.24181798,18.34399603,16.96827486
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North Macedonia,MKD,6.34,6.38,6.44,6.46,7.07,7.73,8.52
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Northern Mariana Islands,MNP,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Norway,NOR,10.07,10.53,10.23,9.96,10.44,11.42,10.08
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Not classified,INX,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,OECD members,OED,12.24158507,12.40732428,12.36483015,12.32526849,12.52138227,13.92876454,13.3533917
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Oman,OMN,4.07826233,4.17580843,3.95418668,3.21469474,3.80648994,5.25332022,4.37028217
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Other small states,OSS,6.208510424,6.292827527,6.188258317,6.120848929,6.223005174,7.257364611,7.348330643
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pacific island small states,PSS,4.939911973,4.857762434,4.704290296,5.151985394,5.394274379,6.024233147,6.563372662
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pakistan,PAK,2.45764351,2.57026362,2.7863009,2.82844949,2.84736943,2.95273018,2.91131568
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Palau,PLW,11.33741093,11.62825298,12.52633381,12.85856915,13.40278435,14.34041405,16.38419533
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Panama,PAN,7.18962574,7.35213518,7.42582321,7.87820292,8.46795654,10.8049345,9.68179989
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Papua New Guinea,PNG,1.81881714,2.33063054,2.22970986,2.30051899,2.3253386,2.30193973,2.32032132
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Paraguay,PRY,6.69165802,6.67556572,6.60902548,6.74497652,7.16081905,7.67533064,8.03277016
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Peru,PER,4.96122217,4.95967245,4.8808279,5.15967131,5.17916393,6.28521156,6.15173197
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Philippines,PHL,3.9,3.95,3.96,3.95,4.17,5.16,5.87
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Poland,POL,6.4,6.59,6.58,6.31,6.46,6.5,6.44
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Portugal,PRT,9.32,9.39,9.31,9.41,9.51,10.55,11.14
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Post-demographic dividend,PST,12.70088505,12.85052983,12.81071428,12.75633115,12.95547275,14.41206213,13.8225035
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pre-demographic dividend,PRE,3.961258777,4.301774961,4.164171295,3.866600872,3.897919588,4.454661242,4.552758147
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Puerto Rico,PRI,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Qatar,QAT,3.63581347,3.54971433,3.21237087,2.96176219,3.20278597,3.81872201,2.89366841
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Romania,ROU,4.94,5.08,5.19,5.52,5.71,6.23,6.48
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Russian Federation,RUS,5.3,5.29,5.36,5.36,5.65,7.57,7.39
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Rwanda,RWA,6.65446424,6.96060848,6.38999748,6.69894743,6.34386826,7.47530079,7.32305002
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Samoa,WSM,6.21226454,5.63365221,5.16120243,4.77439356,5.63886738,6.18895578,6.80313492
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,San Marino,SMR,8.43315315,8.4219532,8.25972271,8.2778492,8.14801598,8.48147392,7.97527838
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sao Tome and Principe,STP,5.34009647,6.43088865,6.46181059,5.50957823,5.29584646,7.30042553,7.82528496
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Saudi Arabia,SAU,5.86202002,6.24143076,6.03126049,5.34063101,5.46742678,6.64629889,5.96836901
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Senegal,SEN,4.37789631,4.25606871,4.16359377,4.43182087,4.49531031,5.15119171,4.35098124
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Serbia,SRB,8.81319809,8.45890999,8.22039318,8.53168106,8.66552734,8.70042133,10.0125246
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Seychelles,SYC,4.37339973,4.96118879,4.76658726,4.94443846,4.77020788,6.54135609,5.25937986
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sierra Leone,SLE,19.65816307,15.78850651,9.3997612,8.28987598,9.12992668,9.32588673,8.55334282
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Singapore,SGP,4.18069839,4.38810682,4.36493397,4.07545424,4.39938164,5.71281767,5.56525183
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sint Maarten (Dutch part),SXM,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Slovak Republic,SVK,6.76,7.09,6.76,6.67,6.92,7.13,7.75
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Slovenia,SVN,8.5,8.46,8.18,8.28,8.5,9.43,9.48
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Small states,SST,5.978995142,6.078559009,6.04169138,6.004472507,6.112056887,7.117785521,7.167672571
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Solomon Islands,SLB,4.44578695,4.40253973,4.14992523,3.77378345,4.32405567,4.79699087,4.76345396
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Somalia,SOM,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Africa,ZAF,8.05304241,8.07959366,7.97711229,8.08820343,8.24418926,8.57258797,8.27309132
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia,SAS,3.452421984,3.384559493,2.963607523,2.909130888,2.980573333,3.305409038,3.265601846
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia (IDA & IBRD),TSA,3.452421984,3.384559493,2.963607523,2.909130888,2.980573333,3.305409038,3.265601846
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Sudan,SSD,,,15.9569149,10.05615997,9.03740788,9.44806385,5.86061621
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Spain,ESP,9.12207508,8.94727325,8.94491291,8.99686718,9.1456852,10.74565983,10.74003887
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sri Lanka,LKA,3.68,3.62,3.33,3.64,3.9,4.02,4.07
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Kitts and Nevis,KNA,5.11798382,5.42126036,5.26021719,4.89200258,5.18704271,5.65951824,6.1634655
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Lucia,LCA,4.51419878,4.44803333,4.37286377,4.18686533,4.19073772,6.79121685,6.2111187
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Martin (French part),MAF,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Vincent and the Grenadines,VCT,4.11412001,4.09573793,4.22985649,4.25346231,4.25543451,4.8395834,5.36252117
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,SSF,4.97392241,5.04197079,5.044627777,4.774888193,4.734062229,4.936455612,5.103624752
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,4.974445366,5.042054886,5.044917168,4.774716776,4.734024951,4.935148986,5.103503709
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,4.97392241,5.04197079,5.044627777,4.774888193,4.734062229,4.936455612,5.103624752
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sudan,SDN,5.81112576,5.68438482,5.91767406,4.46358299,4.57422638,3.01518917,2.83633852
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Suriname,SUR,5.80808163,5.99283743,5.32285929,6.68795872,8.70230103,6.84054422,5.6838975
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sweden,SWE,10.8,10.85,10.79,10.94,10.83,11.33,11.25
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Switzerland,CHE,10.77887917,10.9900341,11.0451622,10.77226162,11.06363678,11.73206806,11.80107975
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Syrian Arab Republic,SYR,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tajikistan,TJK,6.91,6.96,6.85,7.01,6.95,8.18,8.01
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tanzania,TZA,3.64969945,3.96350336,4.08257437,4.16191673,3.88136053,2.93978429,3.36136484
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Thailand,THA,3.8522861,3.93900609,3.85276842,3.87040329,3.78911877,4.35728741,5.16038752
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Timor-Leste,TLS,7.67216587,6.89625168,6.75752544,6.36952639,6.02679253,9.96385956,11.43839264
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Togo,TGO,4.95647097,6.59755707,6.49392271,6.08894634,5.726192,6.03786469,5.55532026
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tonga,TON,4.47327423,4.81820822,4.85577822,4.80628061,4.75078154,5.33435154,6.27256584
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Trinidad and Tobago,TTO,5.65026045,6.50998688,6.57946634,6.5323596,6.83128405,7.53854179,7.0194726
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tunisia,TUN,6.21339941,6.24778175,6.18557453,5.9375186,6.02461243,7.05024958,6.97273922
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turkiye,TUR,4.12,4.28,4.18,4.12,4.37,4.62,4.57
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turkmenistan,TKM,5.11721087,5.74498892,5.93897438,5.69395018,5.68183947,5.68472815,5.56931353
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turks and Caicos Islands,TCA,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tuvalu,TUV,13.52732944,18.61886597,24.28305244,18.64067841,22.41327286,18.86140633,19.96582222
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uganda,UGA,5.0745697,4.96169233,3.99788952,4.02080536,3.79834843,4.30198574,4.67196703
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ukraine,UKR,7.78,7.55,7.44,7.52,7.09,7.56,8.01
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Arab Emirates,ARE,3.46609354,3.89580107,4.00854969,4.09854221,4.38618946,5.82477045,5.30695152
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Kingdom,GBR,9.79776669,9.72899723,9.5958786,9.73079777,9.95761967,12.15863419,12.36469936
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,16.49056816,16.80215836,16.76750183,16.62964439,16.66580582,18.75621986,17.3625679
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Upper middle income,UMC,5.580231923,5.618798255,5.700063535,5.645502125,5.714865943,5.995719899,5.8220111
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uruguay,URY,8.29225731,8.67535782,8.82179642,9.01452351,9.39027691,9.13688469,9.3592062
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uzbekistan,UZB,4.74,4.72,4.84,5.08,5.43,6.75,7.74
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Vanuatu,VUT,4.32168293,2.93130064,2.76285458,3.31753612,3.31453276,3.99482441,4.3733778
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Venezuela, RB",VEN,,,,2.41691327,2.18563724,4.08657551,4.03775549
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Viet Nam,VNM,4.71140909,4.86994743,4.99014759,5.02678823,4.97407484,4.30061865,4.59346437
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Virgin Islands (U.S.),VIR,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,West Bank and Gaza,PSE,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,World,WLD,9.731395407,9.868682098,9.756478624,9.679061377,9.809461599,10.86795101,10.35364356
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Yemen, Rep.",YEM,4.25285673,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Zambia,ZMB,4.42974281,4.46923161,4.78156233,4.76996708,6.75332499,6.31619787,6.62416458
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Zimbabwe,ZWE,7.44982719,7.46644735,6.36358309,4.67039156,3.23280239,2.95440149,2.78975058
